# Tabla de rendimiento por COMUNA y ESPECIE en METROS RUMA (MR) por hectárea por año.
# EDITABLE: modifica los valores; el backend los aplica en la siguiente petición (sin reiniciar).
# Fórmula: MR = edad (años) × factor_MR(comuna, especie) × superficie (ha).
# Columnas: NOM_COMUNA;PINO_MR;EGG_MR;EN_MR  (PINO_MR = pino radiata; EGG_MR = Eucalyptus globulus; EN_MR = Eucalyptus nitens)
NOM_COMUNA;PINO_MR;EGG_MR;EN_MR
ALTO BIO-BIO;13;10;20
ANCUD;16;14;17
ANGOL;13;10;20
ANTUCO;10;7;17
ARAUCO;16;14;17
BULNES;10;7;17
CABRERO;10;7;17
CALBUCO;16;14;17
CANETE;16;14;17
CARAHUE;16;14;17
CASTRO;16;14;17
CAUQUENES;10;7;17
CHANCO;13;10;20
CHEPICA;6;6;13
CHIGUAYANTE;16;14;17
CHILLAN;10;7;17
CHILLAN VIEJO;10;7;17
CHIMBARONGO;6;6;13
CHOLCHOL;13;10;20
CHONCHI;16;14;17
COBQUECURA;13;10;20
COCHAMO;16;14;17
CODEGUA;6;6;13
COELEMU;13;10;20
COIHUECO;13;10;20
COINCO;6;6;13
COLBUN;16;14;17
COLLIPULLI;13;10;20
COLTAUCO;6;6;13
CONCEPCION;16;14;17
CONSTITUCION;13;10;20
CONTULMO;16;14;17
CORONEL;16;14;17
CORRAL;16;14;17
CUNCO;13;10;20
CURACAUTIN;10;7;17
CURACO DE VELEZ;16;14;17
CURANILAHUE;19;17;17
CURARREHUE;10;7;17
CUREPTO;10;7;17
CURICO;13;10;20
DALCAHUE;16;14;17
DONIHUE;6;6;13
EL CARMEN;13;10;20
EMPEDRADO;13;10;20
ERCILLA;13;10;20
FLORIDA;13;10;20
FREIRE;13;10;20
FRESIA;16;14;17
FRUTILLAR;16;14;17
FUTRONO;16;14;17
GALVARINO;13;10;20
GORBEA;19;17;17
GRANEROS;6;6;13
HUALANE;6;6;13
HUALPEN;19;17;17
HUALQUI;13;10;20
LA ESTRELLA;6;6;13
LA UNION;13;10;20
LAGO RANCO;16;14;17
LAJA;13;10;20
LANCO;16;14;17
LAS CABRAS;6;6;13
LAUTARO;13;10;20
LEBU;19;17;17
LICANTEN;13;10;20
LINARES;13;10;20
LITUECHE;6;6;13
LLANQUIHUE;16;14;17
LOLOL;6;6;13
LONCOCHE;16;14;17
LONGAVI;10;7;17
LONQUIMAY;10;7;17
LOS ALAMOS;19;17;17
LOS ANGELES;10;7;17
LOS LAGOS;19;17;17
LOS MUERMOS;16;14;17
LOS SAUCES;10;7;17
LOTA;16;14;17
LUMACO;13;10;20
MACHALI;6;6;13
MAFIL;19;17;17
MALLOA;6;6;13
MARCHIHUE;6;6;13
MARIQUINA;19;17;17
MAULE;6;6;13
MAULLIN;16;14;17
MELIPEUCO;10;7;17
MOLINA;10;7;17
MOSTAZAL;6;6;13
MULCHEN;13;10;20
NACIMIENTO;13;10;20
NANCAGUA;6;6;13
NAVIDAD;6;6;13
NEGRETE;10;7;17
NINHUE;10;7;17
NIQUEN;10;7;17
NUEVA IMPERIAL;16;14;17
OSORNO;16;14;17
PADRE LAS CASAS;13;10;20
PAILLACO;16;14;17
PALMILLA;6;6;13
PANGUIPULLI;16;14;17
PAREDONES;6;6;13
PARRAL;10;7;17
PELARCO;6;6;13
PELLUHUE;13;10;20
PEMUCO;13;10;20
PENCAHUE;10;7;17
PENCO;16;14;17
PERALILLO;6;6;13
PERQUENCO;13;10;20
PEUMO;6;6;13
PICHIDEGUA;6;6;13
PICHILEMU;6;6;13
PINTO;13;10;20
PITRUFQUEN;16;14;17
PLACILLA;6;6;13
PORTEZUELO;10;7;17
PUCON;13;10;20
PUERTO MONTT;16;14;17
PUERTO OCTAY;16;14;17
PUERTO VARAS;16;14;17
PUMANQUE;6;6;13
PUREN;13;10;20
PURRANQUE;16;14;17
PUYEHUE;16;14;17
QUEILEN;16;14;17
QUELLON;16;14;17
QUEMCHI;16;14;17
QUILACO;13;10;20
QUILLECO;13;10;20
QUILLON;10;7;17
QUINTA DE TILCOCO;6;6;13
QUIRIHUE;13;10;20
RANQUIL;10;7;17
RAUCO;6;6;13
RENAICO;13;10;20
RENGO;6;6;13
REQUINOA;6;6;13
RETIRO;10;7;17
RIO BUENO;16;14;17
RIO CLARO;10;7;17
RIO NEGRO;16;14;17
ROMERAL;10;7;17
SAAVEDRA;19;17;17
SAGRADA FAMILIA;6;6;13
SAN CARLOS;10;7;17
SAN CLEMENTE;13;10;20
SAN FABIAN;16;14;17
SAN FERNANDO;6;6;13
SAN IGNACIO;16;14;17
SAN JAVIER;10;7;17
SAN JUAN DE LA COSTA;16;14;17
SAN NICOLAS;10;7;17
SAN PABLO;16;14;17
SAN PEDRO DE LA PAZ;19;17;17
SAN RAFAEL;6;6;13
SAN ROSENDO;10;7;17
SAN VICENTE;6;6;13
SANTA BARBARA;13;10;20
SANTA CRUZ;6;6;13
SANTA JUANA;13;10;20
TALCA;6;6;13
TALCAHUANO;19;17;17
TEMUCO;13;10;20
TENO;13;10;20
TEODORO SCHMIDT;16;14;17
TIRUA;19;17;17
TOLTEN;19;17;17
TOME;16;14;17
TRAIGUEN;13;10;20
TREGUACO;13;10;20
TUCAPEL;13;10;20
VALDIVIA;19;17;17
VICHUQUEN;13;10;20
VICTORIA;13;10;20
VILCUN;13;10;20
VILLA ALEGRE;6;6;13
VILLARRICA;13;10;20
YERBAS BUENAS;13;10;20
YUMBEL;10;7;17
YUNGAY;13;10;20
