# Tabla de rendimiento de volumen en pie (m3/ha) por especie, clase de sitio y edad.
# EDITABLE: modifica los valores y reinicia el backend para que se apliquen.
# Este archivo tiene prioridad sobre la curva por defecto (INFOR IT220, 2018).
# Para volver a los valores por defecto, elimina o renombra este archivo.
# Columnas: especie,sitio,edad,vol_ha   (especie: pinus|globulus|nitens; sitio: alto|medio|bajo; edad: 5..30)
especie,sitio,edad,vol_ha
pinus,alto,5,67
pinus,alto,6,96
pinus,alto,7,129
pinus,alto,8,164
pinus,alto,9,202
pinus,alto,10,241
pinus,alto,11,280
pinus,alto,12,320
pinus,alto,13,360
pinus,alto,14,399
pinus,alto,15,437
pinus,alto,16,474
pinus,alto,17,510
pinus,alto,18,544
pinus,alto,19,577
pinus,alto,20,609
pinus,alto,21,639
pinus,alto,22,668
pinus,alto,23,695
pinus,alto,24,720
pinus,alto,25,744
pinus,alto,26,767
pinus,alto,27,788
pinus,alto,28,808
pinus,alto,29,826
pinus,alto,30,844
pinus,medio,5,53
pinus,medio,6,77
pinus,medio,7,103
pinus,medio,8,132
pinus,medio,9,162
pinus,medio,10,193
pinus,medio,11,224
pinus,medio,12,256
pinus,medio,13,288
pinus,medio,14,319
pinus,medio,15,349
pinus,medio,16,379
pinus,medio,17,408
pinus,medio,18,435
pinus,medio,19,462
pinus,medio,20,487
pinus,medio,21,511
pinus,medio,22,534
pinus,medio,23,556
pinus,medio,24,576
pinus,medio,25,595
pinus,medio,26,613
pinus,medio,27,630
pinus,medio,28,646
pinus,medio,29,661
pinus,medio,30,675
pinus,bajo,5,36
pinus,bajo,6,51
pinus,bajo,7,69
pinus,bajo,8,88
pinus,bajo,9,108
pinus,bajo,10,128
pinus,bajo,11,150
pinus,bajo,12,171
pinus,bajo,13,192
pinus,bajo,14,213
pinus,bajo,15,233
pinus,bajo,16,253
pinus,bajo,17,272
pinus,bajo,18,290
pinus,bajo,19,308
pinus,bajo,20,325
pinus,bajo,21,341
pinus,bajo,22,356
pinus,bajo,23,370
pinus,bajo,24,384
pinus,bajo,25,397
pinus,bajo,26,409
pinus,bajo,27,420
pinus,bajo,28,431
pinus,bajo,29,441
pinus,bajo,30,450
globulus,alto,5,136
globulus,alto,6,173
globulus,alto,7,205
globulus,alto,8,234
globulus,alto,9,259
globulus,alto,10,280
globulus,alto,11,297
globulus,alto,12,312
globulus,alto,13,324
globulus,alto,14,334
globulus,alto,15,342
globulus,alto,16,348
globulus,alto,17,354
globulus,alto,18,358
globulus,alto,19,361
globulus,alto,20,364
globulus,alto,21,366
globulus,alto,22,368
globulus,alto,23,370
globulus,alto,24,371
globulus,alto,25,372
globulus,alto,26,372
globulus,alto,27,373
globulus,alto,28,373
globulus,alto,29,374
globulus,alto,30,374
globulus,medio,5,100
globulus,medio,6,126
globulus,medio,7,150
globulus,medio,8,171
globulus,medio,9,189
globulus,medio,10,205
globulus,medio,11,217
globulus,medio,12,228
globulus,medio,13,237
globulus,medio,14,244
globulus,medio,15,250
globulus,medio,16,255
globulus,medio,17,258
globulus,medio,18,261
globulus,medio,19,264
globulus,medio,20,266
globulus,medio,21,268
globulus,medio,22,269
globulus,medio,23,270
globulus,medio,24,271
globulus,medio,25,272
globulus,medio,26,272
globulus,medio,27,273
globulus,medio,28,273
globulus,medio,29,273
globulus,medio,30,273
globulus,bajo,5,63
globulus,bajo,6,80
globulus,bajo,7,95
globulus,bajo,8,108
globulus,bajo,9,120
globulus,bajo,10,129
globulus,bajo,11,137
globulus,bajo,12,144
globulus,bajo,13,150
globulus,bajo,14,154
globulus,bajo,15,158
globulus,bajo,16,161
globulus,bajo,17,163
globulus,bajo,18,165
globulus,bajo,19,167
globulus,bajo,20,168
globulus,bajo,21,169
globulus,bajo,22,170
globulus,bajo,23,171
globulus,bajo,24,171
globulus,bajo,25,172
globulus,bajo,26,172
globulus,bajo,27,172
globulus,bajo,28,172
globulus,bajo,29,173
globulus,bajo,30,173
nitens,alto,5,164
nitens,alto,6,214
nitens,alto,7,264
nitens,alto,8,312
nitens,alto,9,357
nitens,alto,10,399
nitens,alto,11,437
nitens,alto,12,472
nitens,alto,13,504
nitens,alto,14,532
nitens,alto,15,557
nitens,alto,16,580
nitens,alto,17,600
nitens,alto,18,618
nitens,alto,19,633
nitens,alto,20,647
nitens,alto,21,659
nitens,alto,22,670
nitens,alto,23,679
nitens,alto,24,687
nitens,alto,25,695
nitens,alto,26,701
nitens,alto,27,706
nitens,alto,28,711
nitens,alto,29,715
nitens,alto,30,719
nitens,medio,5,143
nitens,medio,6,186
nitens,medio,7,229
nitens,medio,8,271
nitens,medio,9,310
nitens,medio,10,346
nitens,medio,11,379
nitens,medio,12,410
nitens,medio,13,437
nitens,medio,14,462
nitens,medio,15,484
nitens,medio,16,504
nitens,medio,17,521
nitens,medio,18,536
nitens,medio,19,550
nitens,medio,20,562
nitens,medio,21,573
nitens,medio,22,582
nitens,medio,23,590
nitens,medio,24,597
nitens,medio,25,603
nitens,medio,26,609
nitens,medio,27,613
